date,ticker,rolling_median_30d,kurtosis_20d,macd_hist,bb_upper,skewness_20d,return_20d,rolling_std_30d,macd,pct_change,volume_ma_20,turnover,volume_roc_10d,amount,rolling_std_10d,volume_ma_5,rolling_std_5d,return_10d,rsi_14,price_range,open_close_range,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2021-09-14 00:00:00+00:00,000011,0.26263498920086337,-0.03319095055560841,0.7246386668387019,0.5660463900516147,-0.7417385478409583,0.8122587591157405,-0.07256428712114966,0.9856594015072635,-0.385470719051149,0.26022512887570387,0.39136302294197034,-0.3857559949528919,1.0282523951323832,-0.23422973974580857,0.4965185919602767,-0.5258736628466647,0.7754822798040262,1.553357367284894,0.1969696969696965,0.08695652173913648,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.005249343832021041
2021-09-15 00:00:00+00:00,000011,0.2764578833693302,-0.5005861073190364,0.5656969482025175,0.5652554186504203,-0.416434585461293,0.8547066884474783,-0.028812899998661858,0.9884199570215669,0.20756115641215714,0.32406879803844196,-0.06747638326585695,-0.021649728554474203,0.32873028011518524,-0.39669447413496517,0.35951926099678355,-0.5266515627538217,0.584486786615198,1.1720109206265639,0.9242424242424282,0.39130434782609486,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.03562119895742834
2021-09-16 00:00:00+00:00,000011,0.3144708423326136,-0.4874221879692418,0.4590290928963964,0.5708802468426523,-0.451373047368988,0.8678497040604207,0.010275530699699439,0.9992049857157121,-0.7472201630837657,0.3575578007687387,0.04048582995951414,-0.27599890462837595,0.4706458289866794,-0.5044348137003768,0.3208699086724863,-0.5733079862551197,0.5250311196194238,1.2696154832318984,0.6818181818181842,0.0434782608695721,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.046345811051693525
2021-09-17 00:00:00+00:00,000011,0.35939524838012943,0.3664851587294029,0.1846398770788637,0.5929799937652662,-1.076938622064462,0.7485677694636114,0.017043602330023937,0.935934473845872,-0.8183839881393624,0.4089670521082172,-0.21322537112010798,0.022111831725538395,0.08981761913634773,-0.6378911215224871,0.3747410506291361,-0.3143996708019127,0.22532456366185077,0.6251496510174819,1.0454545454545474,0.6086956521739167,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.020164986251145798
2021-09-22 00:00:00+00:00,000011,0.3956803455723542,0.07473332738507268,-0.19222053699073707,0.6423954630516673,-1.1115292660844964,0.566806584146987,-0.00832067888573067,0.8110280753989166,0.5159377316530763,0.4337725478358654,-0.21322537112010798,-0.4585245962905301,0.09024708233188414,-0.4088334919743532,0.3042713547586227,0.32251253224323645,-0.1741320145562805,0.09327384351634993,0.16666666666666666,0.39130434782609486,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.033333333333333263
2021-09-23 00:00:00+00:00,000011,0.4233261339092867,0.018828830989673136,-0.3366094772853016,0.5926279338961384,-1.0920145037085731,0.6126301479877505,-0.014677074838443561,0.7476597718491496,0.720533728687917,0.45249147323455424,0.2078272604588394,-0.48218249673250596,0.7307904375700582,-0.3520142016177403,0.24603777235025254,0.19482880502934416,-0.08660636138531827,0.38003055208317127,0.8333333333333334,1.2608695652173978,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.05364995602462616
2021-09-24 00:00:00+00:00,000011,0.4457883369330452,-0.08403876361963655,-0.28291435767874984,0.5818181961151819,-0.9920444390375216,0.7142602684532933,-0.004173196532533124,0.750572002871297,-0.7027427724240178,0.5096577293876192,-0.08367071524966263,-0.3693283221917953,0.2884711284963254,-0.36317556535529294,0.1890713289644443,0.1437377460036844,-5.154758235501164e-05,0.7302573899834155,1.0151515151515176,0.521739130434788,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.008108108108108096
2021-09-27 00:00:00+00:00,000011,0.46997840172786176,-0.3499731710662721,-0.40635824173347124,0.5146440552051919,-0.9312103125674809,0.6004326828022231,0.0008433778600798389,0.6883029643704928,-1.0674573758339512,0.5209639049059982,-0.08367071524966263,-0.13081199264206836,0.2536557164987957,-0.31769004779875243,0.18331600286960234,-0.1541492713134279,-0.1453018809684536,0.309961048797714,0.5606060606060597,0.6521739130434888,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,0.016822429906542195
2021-09-28 00:00:00+00:00,000011,0.46997840172786176,-0.45031573221756976,-0.7056257528799404,0.5277577103868772,-0.8717575841649748,0.25034448804968745,-0.017102860301777708,0.5474903283169692,1.1919940696812452,0.5115242776218335,-0.18623481781376516,0.14228781793333928,0.12632959300184313,-0.05773515778260931,0.14373806011655743,0.22067869783244407,-0.5258304094060446,-0.18994938972889888,0.5,1.2608695652174056,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.023360287511231047
2021-09-29 00:00:00+00:00,000011,0.4907127429805611,-0.36104590105373746,-0.6386435661051876,0.5376636838152458,-0.44434184737901145,0.3992978573006068,-0.0423805977745465,0.5266974966132549,-1.0644922164566344,0.4960228221645178,-0.04048582995951414,-0.223884193184038,0.32960128678582534,-0.07662447585186652,0.15217275651101486,0.1804097488178288,-0.1696325514687681,0.3371676726296419,0.3181818181818211,0.7391304347826176,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.022367194780987903
2021-09-30 00:00:00+00:00,000011,0.4907127429805611,-0.5133249984491983,-0.8037950938289706,0.5398922155171251,-0.32315302984617084,0.07057841591176402,-0.07021153812395044,0.4202221219279056,0.08302446256486287,0.4469284469225089,-0.2672064777327935,0.041913113161333254,-0.002861244300500379,-0.06699042426023688,0.20632118588736,0.3927406728773419,-0.6496271665887254,-0.09197027547205473,1.0757575757575826,0.6521739130434812,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.006505576208178465
2021-10-08 00:00:00+00:00,000011,0.4907127429805611,-0.5099841367989179,-0.8661935859427548,0.4525180341809235,-0.3038495287372596,0.054935812783151204,-0.12648753426860876,0.3410581451607563,0.687916975537435,0.37426172499836063,-0.14844804318488525,-0.5746703790685026,0.18490316585595531,-0.07559257377851347,0.055908882064179016,0.0457588668108112,-0.5068907640901116,-0.056434387475927474,0.2272727272727263,-0.30434782608695066,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.045413260672116255
2021-10-11 00:00:00+00:00,000011,0.49589632829373625,-0.5713062029049567,-0.7374155527397023,0.4339630396155145,-0.3027351618450588,0.11262774960789142,-0.1826775151762291,0.3318922901174278,-0.3498888065233506,0.3373296038657144,-0.29959514170040485,-0.06665392285080522,-0.0313947604981014,-0.26973149318936257,0.036556799587293,-0.04879510211512515,-0.3603656166243083,0.23158130952032732,0.2575757575757561,-0.13043478260869312,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.04044117647058835
2021-10-12 00:00:00+00:00,000011,0.49589632829373625,-0.6248559240043479,-0.7044477995935038,0.4319180592501308,-0.18424129182293833,0.019454543387411028,-0.2587587972923219,0.29528501016273634,-0.026686434395848776,0.3019374345106063,0.06747638326585695,-0.40745316548886334,0.48248666676748997,-0.3113808023265236,-0.029901901514601967,-0.15944708197356428,-0.2335326398897357,0.08649879991207586,-0.07575757575758262,0.39130434782608714,152000000.0,0.5954,153000000.0,0.9645999999999999,861999999.9999999,0.642,0.2551,5.53,0.14,4.38,-1.02,0.1491,0.0472,0.0461,1413.69,26.95,2.08,0.95,0.95,2.39,0.6993,0.9274128856497108,-0.1575,0.07852500000000001,3.325562602053203,-3.9984163135385598,1386.74,-0.03863845446182152
