date,ticker,kurtosis_20d,bb_upper,pct_change,rolling_std_5d,rolling_std_30d,rolling_std_20d,macd_hist,atr_14,skewness_20d,open_close_range,amount,volume_ma_20,macd,rolling_std_10d,volume_change,price_range,volume_ratio_20d,volume_roc_10d,volume_roc_5d,volume_roc_3d,fin_net_profit,fin_net_profit_yoy,fin_net_profit_deducted,fin_net_profit_deducted_yoy,fin_revenue,fin_revenue_yoy,fin_eps,fin_bps,fin_capital_reserve_ps,fin_undistributed_profit_ps,fin_ocf_ps,fin_net_profit_margin,fin_roe,fin_roe_diluted,fin_operating_cycle,fin_receivable_turnover_days,fin_current_ratio,fin_quick_ratio,fin_conservative_quick_ratio,fin_debt_to_equity,fin_debt_to_assets,fin_profit_quality,fin_roe_change,fin_roe_ma4,fin_leverage_ratio,fin_cash_earning_quality,fin_inventory_turnover_days,future_return_5d
2020-03-13 00:00:00+00:00,000050,-0.15726500990915543,0.5503279072891614,-0.7565308254963428,1.0776032732312883,1.4647523027692053,1.4310462323677997,-1.9212030221218301,1.3598038581726035,-0.23974139038528347,-0.33333333333333615,0.6306459749985807,1.9731617577519331,-0.20778974174907014,0.5079912890968473,-0.38996191991397244,0.5666666666666642,-1.0008337445946622,-0.7302022584187325,-0.5708010451876907,-0.6813355568117128,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.05978975032851512
2020-03-16 00:00:00+00:00,000050,-0.21625032715714906,0.4743056357651866,-2.5830721003134793,0.7328172028984354,1.4993713191495053,1.5547730848385621,-2.109731306210955,1.4092551195822538,-0.1863141852166772,2.6666666666666807,0.7639685812475564,1.951474468895837,-0.4186400952047191,0.8540620785230095,0.6043857204331046,1.933333333333326,-0.7793609019279496,-0.7317671600393664,-0.13755438518467603,-0.48916750759732347,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.06232492997198871
2020-03-17 00:00:00+00:00,000050,-0.3608518642588161,0.5578736466413712,0.11703239289446186,2.5666098124102525,1.5476736659375394,1.9514552651178567,-2.706332248235563,1.5325115633347068,-0.05199064176150778,4.571428571428587,0.3931606762049602,1.924298994560153,-0.8001837771025535,1.7085963069779626,0.31506646643484626,3.3333333333333206,-0.6473462064208747,-0.4326702819436996,-0.19977633224626093,0.18151565800258823,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.04748603351955305
2020-03-18 00:00:00+00:00,000050,-0.23993708186815185,0.4902237357379852,-1.1076280041797282,2.622532955624789,1.5422671389198197,2.248275307750884,-2.913708115431865,1.4947059390174309,-0.004533675541045341,-0.28571428571428936,0.5777289949173592,1.8296066169914862,-1.0783779646403653,2.032758090397798,-0.38296489051018034,1.233333333333326,-0.8819495791337458,-0.6902738962844759,-0.5214153124858556,0.18971515451457277,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.0035868005738880155
2020-03-19 00:00:00+00:00,000050,-0.2849415573617422,0.3957539830178631,0.6311389759665622,2.412378289519185,1.6002498730771642,2.5883079324659715,-3.120353700569907,1.4523503337526689,0.03556468917597936,1.1904761904761958,0.669554856136316,1.7667068510654746,-1.3721738108875896,2.427189564796583,0.40278055652681694,1.1333333333333284,-0.7067273483148191,-0.09077832783396386,0.022686982747487865,0.04241356042731073,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.03674911660777382
2020-03-20 00:00:00+00:00,000050,-0.3706096095159689,0.2747972146756906,0.47230929989550674,1.5143213084006253,1.6891591073156247,2.69598611626528,-2.9429249236100676,1.400936157723237,-0.3368612290303108,0.19047619047618725,0.1726048498714238,1.5453222304329817,-1.5347288032113706,2.360558498042342,0.2584252077932567,0.9666666666666601,-0.5021750897098327,-0.23456799150359112,0.6004806767072084,-0.000526918109346877,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.04891684136967163
2020-03-23 00:00:00+00:00,000050,-0.40670947097003096,0.11618055259240102,-2.687565308254963,-0.14600892333012258,1.7692685660295608,2.719894354055561,-2.5586219313359644,1.3024417440477234,-0.3801896010750224,-0.5238095238095318,0.2664564002535604,1.363715153021081,-1.6044815467225537,1.976193348754139,-0.6632804423704535,0.2666666666666659,-0.9146096684696615,-0.47472889054886575,-0.3801389434870025,-0.29640046376660373,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.011949215832710988
2020-03-24 00:00:00+00:00,000050,-0.6033221526049832,0.16218504789113247,0.7816091954022989,0.9829320733856691,1.9824036451007,2.717036147498419,-2.7290475261856355,1.3753246531485954,-0.29995905435127285,1.2380952380952341,0.04287968338898764,1.1843154423034865,-1.8572151011935882,2.355992185110489,0.4012700353304333,1.233333333333326,-0.6831455111767043,-0.48568812121741056,-0.3414180267268706,-0.2972927049842393,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.03885630498533733
2020-03-25 00:00:00+00:00,000050,-0.6210379398490611,0.1300416457288318,0.7648902821316614,0.9245077267376615,2.129287471190158,2.4459954068735064,-2.506618230969592,1.317328340307302,-0.2924265778481942,-0.23809523809524252,0.14556753518471213,0.9694973091757041,-1.9725718377575663,2.031390588125098,-0.3631383068787538,0.7999999999999976,-0.8314289869172727,-0.6953588044404629,-0.3282408009373906,-0.6874787471466598,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.0518358531317495
2020-03-26 00:00:00+00:00,000050,-0.4947621602039165,0.12757455178667546,-0.7816091954022989,0.9187938095265106,2.246526704171778,2.2452004828720566,-2.0441541742296283,1.227222707818214,-0.4782117448097357,-0.33333333333334464,-0.1246056721728097,0.8087776048147562,-1.9789825575959092,1.4447930752685472,0.2708625746969926,-0.19999999999999496,-0.6412247222004404,-0.37767005570655027,-0.3881768170290586,0.028847468080857454,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.010271460014673555
2020-03-27 00:00:00+00:00,000050,-0.4743605991716338,0.09753914422202298,-0.06269592476489028,0.7994558219630258,2.391341932663825,2.105555722437243,-1.7673843639282723,1.1193852496540413,-0.49640066980283637,0.09523809523808517,-0.23759004183685842,0.702044457406343,-2.0210811129450694,0.915219708399289,-0.5100835776534917,-0.1666666666666684,-0.928461720335486,-0.44681062716806913,-0.739251104993453,-0.6323328980016346,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.027185892725936755
2020-03-30 00:00:00+00:00,000050,-0.3362020859360922,0.005918782647105921,-1.1661442006269593,-0.06176321525394,2.5237296127773896,2.178842524976365,-1.468886197829639,1.0144168786167338,-0.5026415788575299,0.42857142857142977,-0.1605116240823736,0.5515513241856035,-2.033664016761416,0.25273471906943257,-0.2902324966422903,-0.09999999999999748,-1.0195253514172766,-0.7429064523508481,-0.5495621145860037,-0.5841368756225422,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,0.030990173847316713
2020-03-31 00:00:00+00:00,000050,-0.3610035213725148,0.02105617258157558,-0.38035527690700105,0.23517468456547175,2.6714508747968657,2.2000744361933826,-1.3925967507710935,1.0015340463528744,-0.42447729769329107,0.09523809523809362,-0.3088564676790892,0.4554291860307026,-2.1084734036585404,0.3867070375888324,0.48109426118223714,0.2999999999999984,-0.7959660076269777,-0.7022120469108639,-0.5205743694982665,-0.47922759204754445,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,0.04805491990846688
2020-04-01 00:00:00+00:00,000050,-0.3268797283789936,0.02944191538377857,0.1922675026123302,0.6472875665602422,2.7834648427682347,2.14864242480809,-1.2954060111531964,0.9243179722336655,-0.36909903102220093,0.6190476190476171,-0.03640888009857922,0.33636718269427124,-2.169437049477383,0.43403797572388314,-0.43575683076252913,0.16666666666666247,-0.986818627933421,-0.7219897310336079,-0.560398515936783,-0.4177574543649645,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,0.04252088078967354
2020-04-02 00:00:00+00:00,000050,-0.32843778000372664,-0.02513583734131487,1.0156739811912225,0.30426262428555734,2.879557836276801,2.0698000930230913,-1.0758713537725726,0.8695348915771292,-0.4486814091805957,-0.380952380952383,0.0016561398451117079,0.29458435336878874,-2.1761108119518613,0.5124836268772095,1.2898206865005062,0.4000000000000018,-0.4437203502864854,-0.5047843422668241,-0.17411122090002668,0.7789255121584033,,-0.1521,508000000.0,0.1913,,0.3175,0.6082,12.84,9.83,1.95,1.1,0.0587,0.049800000000000004,0.048499999999999995,97.4,63.48,0.8,0.57,0.57,1.3,0.5653,-0.47905360927997087,0.016700000000000007,0.038950000000000005,2.30043179104718,1.8086126132643652,33.92000000000001,-0.010378057820607899
